,A14,B07,A02,A27,A07,A04,B05,B17,B10,A08,A15,B22,B02,B06
649,,25135,26553,25264,26137,25690,22654,26003,22801,20653,,,,
650,,26129,26553,25265,27144,25690,22655,26003,22801,20653,,,,
651,,25291,26553,25265,27144,25690,22512,25859,22654,20653,,,,
652,,23711,26842,25265,26856,25690,22658,25859,22654,20653,,,,
653,,23711,26842,25265,26424,25690,22515,25859,22654,20653,,,,
654,,23711,26842,25266,25848,25690,22515,25859,22654,17511,,,,
655,,25291,26842,25266,27143,25690,22517,25859,22654,20653,,,,
656,,24141,26842,25266,27143,25690,22517,25859,22654,20653,,,,
657,,23996,26842,25267,26567,25690,22517,25859,22654,20653,,,,
658,,23707,26842,25267,26135,25834,22520,25859,22654,17511,,,,
659,,24137,26842,25267,27142,25834,22520,25715,22654,17511,,,,
660,,23848,26842,25268,27142,25834,22376,25715,22654,17511,,,,
661,,23559,26842,25268,26998,25834,22522,25715,22654,17511,,,,
662,,23989,26842,25268,26422,25834,22378,25715,22654,17511,,,,
663,,23700,26842,25268,27141,25834,22379,25715,22654,17511,,,,
664,,23411,26842,25268,27141,25690,22380,25715,22654,17511,,,,
665,,23985,26842,25268,27141,25690,22381,25715,22654,17511,,,,
666,,23552,26842,25268,26709,25690,22381,25715,22654,17511,17240,,,
667,,24270,26841,25268,27140,25690,22382,25715,22654,17511,17240,,,
668,,23981,26841,25268,27140,25690,22527,25714,22654,17511,17240,,,
669,,24986,26841,25268,27140,25690,22527,25570,22798,17655,17240,,,
670,,24986,26841,25268,26276,25690,22527,25570,22798,17655,17240,,,
671,,24986,26841,25268,27139,25690,22383,25570,22798,17655,17240,,,
672,,24986,26841,25268,27139,25690,22383,25570,22798,20511,17240,,,
673,,24986,26841,25268,27139,25690,22383,25570,22798,20511,17240,,,
674,,24986,26698,25268,27139,25690,22383,25570,22798,20511,17240,,,
675,,,26699,25268,27138,25690,22239,25570,25267,20511,17240,,,
676,,25146,26700,25268,27138,25690,22239,25570,25267,20511,17240,,,
677,,25146,26700,25268,27138,25690,22239,25570,25267,20511,17240,,,
678,,25146,26700,,27138,25690,21950,25426,25267,20511,17240,,,
679,,25146,26700,,26274,25689,,25426,25267,20511,17240,,,
680,,25145,26700,,27137,25977,,25426,25267,20511,17240,,,
681,,25145,26699,,27137,26121,,25426,25267,20511,17240,,,
682,,25145,26843,,27137,26553,,25426,25267,20511,17240,,,
683,,25145,26699,,27137,26697,,25426,22798,17369,17240,,,
684,,25145,26844,,27136,27129,,25426,22798,17369,17241,,,
685,,25145,26844,,27136,26842,,25426,22798,17369,17241,,,
686,,25145,26844,,27136,26697,,25426,22798,17369,17241,,,
687,,25145,26844,,27136,26267,,25426,22798,17369,17241,,,
688,,25145,26843,,27136,26123,,25425,22798,17369,17241,,,
