,A07,A10,B25,B02,B22,A15,A08,A09,B05,B07,A02,A04,A14,A27,B17,B10,B14,B13,A03,B06
254,16777,31072,20447,21846,24623,24458,26207,23280,15263,26158,24999,24464,24556,24724,28210,28782,30382,23408,25280,17247
255,16777,31072,20591,21846,24623,24458,26207,23280,15695,26158,24712,23893,24556,24724,28066,28782,30238,23408,25280,17247
256,16777,31072,20591,21846,24623,24458,26207,23280,16269,26158,24569,23321,24556,24724,27922,28782,30094,23409,25137,17247
257,16777,31072,20735,21845,24623,24602,26207,23280,16986,26158,24857,23576,22554,24724,27922,28782,29950,23409,25137,16496
258,17525,31072,20735,21845,22136,24602,26207,23280,17703,26158,24714,21883,23858,24724,27778,28782,29806,23409,25137,16496
259,17525,31072,20879,21845,22136,24602,26207,23280,17991,25005,24715,22457,23858,24724,27778,28782,29806,23409,25137,16496
260,16777,31072,20879,21844,22279,24746,26351,23280,18708,26158,24428,25010,23858,24724,27634,28782,29371,23409,25137,16496
261,18246,31072,21023,21844,22279,24746,26351,23280,19282,25005,24285,24466,23858,24724,27490,28782,29371,23409,25137,16496
262,18966,31072,21023,21844,22422,24746,26351,23280,19856,26158,24142,24461,23858,24724,27490,28782,29227,23409,25137,16496
263,19688,31072,21167,21843,22422,24890,26351,23280,20144,26158,23999,24855,23858,24724,27347,28782,29083,23409,24993,16496
264,20409,31072,21167,21843,22566,24747,26351,23280,20718,25005,24431,22872,23858,25150,27347,28782,28939,23409,24994,16496
265,21276,31072,21311,21843,22566,24747,26351,23280,21291,26158,24144,22872,23858,24724,27347,28782,28795,23409,24994,16496
266,22140,31072,21311,21842,22566,24747,26351,23280,21722,25005,24145,24855,23858,25150,27203,28782,28795,23409,24994,16496
267,23005,31072,21455,21985,22566,24891,26351,23280,22153,25005,24002,24855,23858,25150,27059,25435,28651,23409,24994,16496
268,24016,31072,21455,21841,22566,24891,26351,23280,22583,25005,23859,23020,23858,25150,27059,25435,28507,23409,24994,16496
269,25026,31072,21599,21841,22566,24891,26351,23280,23013,25005,23716,23167,23858,25150,26915,28782,28364,23409,24994,16496
270,26181,31072,21599,21840,22566,25035,26351,23280,23444,25005,23573,25010,23858,26307,26915,28782,28072,23264,24994,16496
